"camis","dba","boro","building","street","zipcode","phone","cuisine_description","inspection_date","action","violation_code","violation_description","critical_flag","score","grade","grade_date","record_date","inspection_type","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"41707327","DRAGON STATE KITCHEN","Bronx","4124A","WHITE PLAINS ROAD","10466","7185152329","Chinese","2018-01-23T00:00:00.000","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","9","A","2018-01-23T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.891433609009","-73.858445915336","212","12","042200","2063647","2048440035","BX44"
"50043322","THE CRUS-Z FAMILY RESTAURANT","Queens","8709","ROOSEVELT AVE","11372","3473372628","Mexican","2018-09-11T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","49",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.748143103699","-73.879106766814","403","21","027900","4036273","4014750042","QN28"
"50000613","SUSHI DOJO","Manhattan","110","1 AVENUE","10009","6466929398","Japanese","2022-03-16T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","31",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.726725405316","-73.985903892131","103","02","003200","1005773","1004340006","MN22"
"50073108","AREPALICIOUS","Queens","13720","CROSSBAY BLVD","11417","7184806049","Bakery Products/Desserts","2019-05-01T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","11","A","2019-05-01T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.671360998626","-73.843006327716","410","32","005800","4458765","4114090010","QN56"
"41326216","NONNA'S OLD FASHIONED PIZZERIA","Staten Island","27","BROWER COURT","10308","7182278844","Pizza","2019-03-19T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","12","A","2019-03-19T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.550965887755","-74.151186174889","503","51","014604","5070227","5054330010","SI54"
"50034275","D.B.A.","Manhattan","41","1 AVENUE","10003","2124755097","American","2019-04-26T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","33","C","2019-04-26T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.724238857969","-73.987740777979","103","02","003602","1006133","1004440038","MN22"
"50087334","JUMBO HAMBURGER PLACE","Manhattan","112","WEST  116 STREET","10026","2126659600","Hamburgers","2019-03-06T00:00:00.000","Violations were cited in the following area(s).","06F","Wiping cloths soiled or not stored in sanitizing solution.","Critical","12","A","2019-03-06T00:00:00.000","2022-03-21T06:00:38.000","Pre-permit (Operational) / Re-inspection","40.802366616085","-73.950536905539","110","09","021800","1000000","1018250041","MN11"
"41633093","EL CERRITO DEL CARMEN RESTAURANT","Brooklyn","2024","MCDONALD AVENUE","11223","7183397907","Latin American","2018-09-18T00:00:00.000","Violations were cited in the following area(s).","02G","Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.","Critical","12","A","2018-09-18T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Re-inspection","40.603199725292","-73.97237871927","311","44","041200","3178502","3066800020","BK29"
"50013250","DUNKIN","Bronx","770","EAST TREMONT AVENUE","10460","7184662006","Donuts","2016-09-14T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","10","A","2016-09-14T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.844164137358","-73.8886323947","206","17","036502","2010059","2029560005","BX17"
"50106783","EL VIEJO YAYO","Queens","9712","101ST AVE","11416","7188801789","Spanish","2021-12-14T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","49","Z","2021-12-14T00:00:00.000","2022-03-21T06:00:38.000","Pre-permit (Operational) / Re-inspection","40.684817279847","-73.844009343859","409","32","004001","4189376","4091040005","QN53"
"50049290","ORCHIDEA RESTAURANT","Brooklyn","4815","12 AVENUE","11219","7186867500","Jewish/Kosher","2017-06-29T00:00:00.000","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","7","A","2017-06-29T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.636760627171","-73.993874852286","312","44","022000","3137399","3056340001","BK88"
"50108411","BAP JIP FOOD COURT BAYSIDE","Queens","4640","FRANCIS LEWIS BLVD","11361","7182291480","Korean","2022-02-03T00:00:00.000","Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical","10","A","2022-02-03T00:00:00.000","2022-03-21T06:00:38.000","Pre-permit (Operational) / Re-inspection","40.753863301917","-73.78096776643","411","19","145101","4125452","4055550001","QN48"
"50002690","TKO CHICKEN & RIBS","Brooklyn","3423","QUENTIN ROAD","11234","7186272737","Chicken","2016-07-13T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","0",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.613844298148","-73.938042065121","318","46","064600","3212283","3077070001","BK45"
"41312436","BAGEL WORLD","Brooklyn","223","DEKALB AVENUE","11205","7186432686","Bagels/Pretzels","2021-09-09T00:00:00.000","Violations were cited in the following area(s).","06C","Food not protected from potential source of contamination during storage, preparation, transportation, display or service.","Critical","7","A","2021-09-09T00:00:00.000","2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.689522606897","-73.970493000751","302","35","018300","3058538","3020910069","BK68"
"50081898","JAN CHI MA EUL","Queens","4165","BOWNE ST","11355","7186852905","Korean","2021-08-30T00:00:00.000","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical","29",,,"2022-03-21T06:00:38.000","Cycle Inspection / Initial Inspection","40.757783727578","-73.822826289315","407","20","085700","4117065","4051830009","QN22"
