id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone
OM5nz6TYlI0vxjckv1in8Q,dunkin-new-york-105,Dunkin',https://s3-media0.fl.yelpcdn.com/bphoto/HmZzfmHFicBiAtyiNcCxnw/o.jpg,False,https://www.yelp.com/biz/dunkin-new-york-105?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,20,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.0,"{'latitude': 40.79867, 'longitude': -73.94132}",['delivery'],$,"{'address1': '147 E 116th Street', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10029', 'country': 'US', 'state': 'NY', 'display_address': ['147 E 116th Street', 'New York, NY 10029']}",+16465979456,(646) 597-9456
R2Zrr3m-UyrSW2GGgDYzLQ,life-health-fitness-whitestone-whitestone,Life Health Fitness - Whitestone,https://s3-media0.fl.yelpcdn.com/bphoto/szqbPMFThvXs_smOt35REQ/o.jpg,False,https://www.yelp.com/biz/life-health-fitness-whitestone-whitestone?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,52,"[{'alias': 'gyms', 'title': 'Gyms'}, {'alias': 'healthtrainers', 'title': 'Trainers'}, {'alias': 'yoga', 'title': 'Yoga'}]",4.0,"{'latitude': 40.79266, 'longitude': -73.80745}",[],,"{'address1': '10-24 154th St', 'address2': None, 'address3': '', 'city': 'Whitestone', 'zip_code': '11357', 'country': 'US', 'state': 'NY', 'display_address': ['10-24 154th St', 'Whitestone, NY 11357']}",+17183570300,(718) 357-0300
KJXi9G1ODDEcgGfNJlpKaw,golden-krust-caribbean-restaurant-brooklyn-11,Golden Krust Caribbean Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/PveOYe6WT-SNlfiBtS1JQA/o.jpg,False,https://www.yelp.com/biz/golden-krust-caribbean-restaurant-brooklyn-11?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,10,"[{'alias': 'caribbean', 'title': 'Caribbean'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]",1.5,"{'latitude': 40.636501, 'longitude': -73.892392}",['delivery'],$$$,"{'address1': '1887 Rockaway Pkwy', 'address2': '', 'address3': None, 'city': 'Brooklyn', 'zip_code': '11236', 'country': 'US', 'state': 'NY', 'display_address': ['1887 Rockaway Pkwy', 'Brooklyn, NY 11236']}",+17182094242,(718) 209-4242
5YFgQpN3AnlLFG4m5fCvzA,gulshan-terrace-woodside,Gulshan Terrace,https://s3-media0.fl.yelpcdn.com/bphoto/EA1PIc8jCZZvZMYuGUFyng/o.jpg,False,https://www.yelp.com/biz/gulshan-terrace-woodside?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,3,"[{'alias': 'indpak', 'title': 'Indian'}, {'alias': 'bangladeshi', 'title': 'Bangladeshi'}]",4.0,"{'latitude': 40.7498753, 'longitude': -73.9027518}",[],,"{'address1': '5915 37th Ave', 'address2': '', 'address3': '', 'city': 'Woodside', 'zip_code': '11377', 'country': 'US', 'state': 'NY', 'display_address': ['5915 37th Ave', 'Woodside, NY 11377']}",+17184574577,(718) 457-4577
8mZ6fE9n_mK59mJ_MYtrSQ,mimis-hummus-brooklyn,Mimi's Hummus,https://s3-media0.fl.yelpcdn.com/bphoto/ati49nUSXFk6cdW6Of12gw/o.jpg,False,https://www.yelp.com/biz/mimis-hummus-brooklyn?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,362,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'moroccan', 'title': 'Moroccan'}]",4.0,"{'latitude': 40.64035, 'longitude': -73.9667}","['delivery', 'pickup']",$$,"{'address1': '1209 Cortelyou Rd', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11218', 'country': 'US', 'state': 'NY', 'display_address': ['1209 Cortelyou Rd', 'Brooklyn, NY 11218']}",+17182844444,(718) 284-4444
dRbaWBdcdhHDGRed7ZSR5A,mimis-hummus-catering-new-york-2,Mimi's Hummus Catering,https://s3-media0.fl.yelpcdn.com/bphoto/781NmmCb4Y6afHaRB7RjBw/o.jpg,False,https://www.yelp.com/biz/mimis-hummus-catering-new-york-2?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,6,"[{'alias': 'catering', 'title': 'Caterers'}]",5.0,"{'latitude': 40.7543721, 'longitude': -73.9761826}",[],,"{'address1': '230 Park Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10169', 'country': 'US', 'state': 'NY', 'display_address': ['230 Park Ave', 'New York, NY 10169']}",+17182844444,(718) 284-4444
_Klr6rynJ4b_oc7ehRPoZA,paul-and-jimmys-new-york,Paul & Jimmy's,https://s3-media0.fl.yelpcdn.com/bphoto/jk5hRwzsjjF0WKA7RfjGGA/o.jpg,False,https://www.yelp.com/biz/paul-and-jimmys-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,123,"[{'alias': 'italian', 'title': 'Italian'}]",4.0,"{'latitude': 40.73682, 'longitude': -73.987251}","['delivery', 'pickup']",$$$,"{'address1': '123 E 18th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10003', 'country': 'US', 'state': 'NY', 'display_address': ['123 E 18th St', 'New York, NY 10003']}",+12124759540,(212) 475-9540
V_VxwnCh-s2oUidbB0VJww,subway-staten-island-44,Subway,https://s3-media0.fl.yelpcdn.com/bphoto/JyBpTLyzomL79Vq3NzrTEQ/o.jpg,False,https://www.yelp.com/biz/subway-staten-island-44?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,3,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,"{'latitude': 40.5449942, 'longitude': -74.160139}","['pickup', 'delivery']",$,"{'address1': '4348B Amboy Rd', 'address2': '', 'address3': '', 'city': 'Staten Island', 'zip_code': '10312', 'country': 'US', 'state': 'NY', 'display_address': ['4348B Amboy Rd', 'Staten Island, NY 10312']}",+17189848773,(718) 984-8773
qbEuBOWUXO2s-C28xJ0tOQ,koliba-astoria,Koliba,https://s3-media0.fl.yelpcdn.com/bphoto/10FkBU-S9Q_nHr22aEH3_Q/o.jpg,False,https://www.yelp.com/biz/koliba-astoria?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,121,"[{'alias': 'modern_european', 'title': 'Modern European'}, {'alias': 'czech', 'title': 'Czech'}, {'alias': 'slovakian', 'title': 'Slovakian'}]",4.0,"{'latitude': 40.7743701, 'longitude': -73.9126345}",['delivery'],$$,"{'address1': '3111 23rd Ave', 'address2': '', 'address3': '', 'city': 'Astoria', 'zip_code': '11105', 'country': 'US', 'state': 'NY', 'display_address': ['3111 23rd Ave', 'Astoria, NY 11105']}",+17186260430,(718) 626-0430
GBg78_iliDkxe5HYPipNXg,royal-coach-diner-bronx,Royal Coach Diner,https://s3-media0.fl.yelpcdn.com/bphoto/XM3fuTQU8jf9n1ea-orBVA/o.jpg,False,https://www.yelp.com/biz/royal-coach-diner-bronx?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,211,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'latin', 'title': 'Latin American'}]",3.5,"{'latitude': 40.8724886, 'longitude': -73.8542747}","['delivery', 'pickup']",$$,"{'address1': '3260 Boston Rd', 'address2': '', 'address3': '', 'city': 'Bronx', 'zip_code': '10469', 'country': 'US', 'state': 'NY', 'display_address': ['3260 Boston Rd', 'Bronx, NY 10469']}",+17186531716,(718) 653-1716
2bpjwQBGoo9KyMYUuPt0Hw,the-bagel-market-brooklyn,The Bagel Market,https://s3-media0.fl.yelpcdn.com/bphoto/64V7P1mXR9hr8fiSXonx-g/o.jpg,False,https://www.yelp.com/biz/the-bagel-market-brooklyn?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,166,"[{'alias': 'bagels', 'title': 'Bagels'}]",3.0,"{'latitude': 40.67418, 'longitude': -73.97581}","['delivery', 'pickup']",$$,"{'address1': '106 7th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['106 7th Ave', 'Brooklyn, NY 11215']}",+17182304700,(718) 230-4700
qvi48CqkzXgs-jK2rTTv5Q,decanio-family-bagels-brooklyn,Decanio Family Bagels,https://s3-media0.fl.yelpcdn.com/bphoto/_VWFRGlwpiThHTDWge_7NQ/o.jpg,True,https://www.yelp.com/biz/decanio-family-bagels-brooklyn?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,4,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'bagels', 'title': 'Bagels'}]",4.0,"{'latitude': 40.67422, 'longitude': -73.97592}",[],$$$,"{'address1': '106 7th Ave', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['106 7th Ave', 'Brooklyn, NY 11215']}",+17182304700,(718) 230-4700
ELUCYkuVkuvA6D-JzjjFNw,peppa-pot-jamaica,Peppa Pot,https://s3-media0.fl.yelpcdn.com/bphoto/TYQD0vG-jgKDz67khJZXiw/o.jpg,False,https://www.yelp.com/biz/peppa-pot-jamaica?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,58,"[{'alias': 'caribbean', 'title': 'Caribbean'}]",2.0,"{'latitude': 40.6727829, 'longitude': -73.7754211}","['delivery', 'pickup']",$$,"{'address1': '13428 Guy R Brewer Blvd', 'address2': '', 'address3': '', 'city': 'Jamaica', 'zip_code': '11434', 'country': 'US', 'state': 'NY', 'display_address': ['13428 Guy R Brewer Blvd', 'Jamaica, NY 11434']}",+17185288200,(718) 528-8200
fUxRTikmfHnURZ26lD2y4Q,tia-pol-new-york,Tia Pol,https://s3-media0.fl.yelpcdn.com/bphoto/jJ641tPiJ5y05O_9cHwwpA/o.jpg,False,https://www.yelp.com/biz/tia-pol-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,716,"[{'alias': 'tapas', 'title': 'Tapas Bars'}, {'alias': 'spanish', 'title': 'Spanish'}]",4.0,"{'latitude': 40.7473, 'longitude': -74.00481}",['delivery'],$$,"{'address1': '205 10th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['205 10th Ave', 'New York, NY 10011']}",+12126758805,(212) 675-8805
fga6-O2R_ckKi1XegFWm-Q,starbucks-new-york-441,Starbucks,https://s3-media0.fl.yelpcdn.com/bphoto/B6w6DB-VDOx9i9Nixpgy0A/o.jpg,False,https://www.yelp.com/biz/starbucks-new-york-441?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,61,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}]",2.5,"{'latitude': 40.750938, 'longitude': -73.975288}",['delivery'],$$,"{'address1': '150 E 42nd St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10017', 'country': 'US', 'state': 'NY', 'display_address': ['150 E 42nd St', 'New York, NY 10017']}",+12129494122,(212) 949-4122
