id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone
X1BZfOYWmG6X9x3yT7QbZw,jakes-steakhouse-bronx-bronx-3,Jake's Steakhouse - Bronx,https://s3-media0.fl.yelpcdn.com/bphoto/YZsz9GmZybJrpZzvScX_Ug/o.jpg,False,https://www.yelp.com/biz/jakes-steakhouse-bronx-bronx-3?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,249,"[{'alias': 'steak', 'title': 'Steakhouses'}]",4.0,"{'latitude': 40.891706, 'longitude': -73.897689}",['delivery'],$$$,"{'address1': '6031 Broadway', 'address2': None, 'address3': '', 'city': 'Bronx', 'zip_code': '10471', 'country': 'US', 'state': 'NY', 'display_address': ['6031 Broadway', 'Bronx, NY 10471']}",+17185810182,(718) 581-0182
r-Ugfs11uNxi19_-VHWf5A,blarney-stone-new-york-3,Blarney Stone,https://s3-media0.fl.yelpcdn.com/bphoto/J4RPQxQ3Ow07bTc4ixWarQ/o.jpg,False,https://www.yelp.com/biz/blarney-stone-new-york-3?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,122,"[{'alias': 'pubs', 'title': 'Pubs'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'sportsbars', 'title': 'Sports Bars'}]",3.5,"{'latitude': 40.74988, 'longitude': -73.99474}","['delivery', 'pickup']",$$,"{'address1': '410 8th Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10001', 'country': 'US', 'state': 'NY', 'display_address': ['410 8th Ave', 'New York, NY 10001']}",+12125945100,(212) 594-5100
FI-zvRxm8SR56RM8QL-xhg,pizza-nova-new-york-2,Pizza Nova,https://s3-media0.fl.yelpcdn.com/bphoto/MCU2uN8toIpU7f1UgMByxg/o.jpg,False,https://www.yelp.com/biz/pizza-nova-new-york-2?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,31,"[{'alias': 'pizza', 'title': 'Pizza'}]",3.0,"{'latitude': 40.862838, 'longitude': -73.925933}","['delivery', 'pickup']",$,"{'address1': '150 Dyckman St', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10040', 'country': 'US', 'state': 'NY', 'display_address': ['150 Dyckman St', 'New York, NY 10040']}",+12123048333,(212) 304-8333
61H9oV-8y6EMZdcKnQc-jA,bakhter-halal-kababs-fresh-meadows,Bakhter Halal Kababs,https://s3-media0.fl.yelpcdn.com/bphoto/zGrxIgZiRB5kh1VnDpzfuA/o.jpg,False,https://www.yelp.com/biz/bakhter-halal-kababs-fresh-meadows?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,262,"[{'alias': 'afghani', 'title': 'Afghan'}, {'alias': 'halal', 'title': 'Halal'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",3.5,"{'latitude': 40.733285, 'longitude': -73.794737}",['delivery'],$,"{'address1': '68-16 Fresh Meadow Ln', 'address2': '', 'address3': '', 'city': 'Fresh Meadows', 'zip_code': '11365', 'country': 'US', 'state': 'NY', 'display_address': ['68-16 Fresh Meadow Ln', 'Fresh Meadows, NY 11365']}",+17187625572,(718) 762-5572
yNEfCHwf-d3PJPrGmbTVjg,joyces-west-indies-restaurant-brooklyn,Joyce's West Indies Restaurant,https://s3-media0.fl.yelpcdn.com/bphoto/i7itqNZR0qSYGQ17X3xoyQ/o.jpg,False,https://www.yelp.com/biz/joyces-west-indies-restaurant-brooklyn?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,1,"[{'alias': 'restaurants', 'title': 'Restaurants'}]",2.0,"{'latitude': 40.642417, 'longitude': -73.92881}",[],,"{'address1': '5013 Avenue D', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11203', 'country': 'US', 'state': 'NY', 'display_address': ['5013 Avenue D', 'Brooklyn, NY 11203']}",+17186299014,(718) 629-9014
8-Ug0Zjs5sL6MARspRJ7CA,bond-45-new-york-2,Bond 45,https://s3-media0.fl.yelpcdn.com/bphoto/CEfwtx0YtfDGog0hWmQ72A/o.jpg,False,https://www.yelp.com/biz/bond-45-new-york-2?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,766,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'newamerican', 'title': 'American (New)'}]",3.5,"{'latitude': 40.7591637016814, 'longitude': -73.9859788257256}","['delivery', 'pickup']",$$,"{'address1': '221 W 46th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['221 W 46th St', 'New York, NY 10036']}",+12128694545,(212) 869-4545
K-wyXXi5lPM2cwaV9_vXcQ,strokos-gourmet-deli-new-york,Strokos Gourmet Deli,https://s3-media0.fl.yelpcdn.com/bphoto/SZpEH33kaPVD2ykWgrwC9w/o.jpg,False,https://www.yelp.com/biz/strokos-gourmet-deli-new-york?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,122,"[{'alias': 'delis', 'title': 'Delis'}]",3.0,"{'latitude': 40.805403, 'longitude': -73.962501}","['pickup', 'delivery']",$,"{'address1': '1090 Amsterdam Ave', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10025', 'country': 'US', 'state': 'NY', 'display_address': ['1090 Amsterdam Ave', 'New York, NY 10025']}",+12126662121,(212) 666-2121
-7mvJpV-gmOCT0HFNOhMNA,the-brothers-cafe-sunnyside,The Brothers Cafe,https://s3-media0.fl.yelpcdn.com/bphoto/g65BppMObpcxmEuZ8OupMQ/o.jpg,False,https://www.yelp.com/biz/the-brothers-cafe-sunnyside?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,110,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'mexican', 'title': 'Mexican'}]",4.5,"{'latitude': 40.74567482683102, 'longitude': -73.92403174662736}","['pickup', 'delivery']",$,"{'address1': '3949 43rd Ave', 'address2': '', 'address3': '', 'city': 'Sunnyside', 'zip_code': '11104', 'country': 'US', 'state': 'NY', 'display_address': ['3949 43rd Ave', 'Sunnyside, NY 11104']}",+17183615556,(718) 361-5556
8ptywurhx5lYbXB0TmjMFQ,jalapeno-king-brooklyn,Jalapeno King,https://s3-media0.fl.yelpcdn.com/bphoto/FubPeIOMYasJdi5umNGevA/o.jpg,False,https://www.yelp.com/biz/jalapeno-king-brooklyn?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,94,"[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'burgers', 'title': 'Burgers'}]",4.0,"{'latitude': 40.660274, 'longitude': -73.994125}","['delivery', 'pickup']",$,"{'address1': '719 5th Ave', 'address2': None, 'address3': '', 'city': 'Brooklyn', 'zip_code': '11215', 'country': 'US', 'state': 'NY', 'display_address': ['719 5th Ave', 'Brooklyn, NY 11215']}",+13479873777,(347) 987-3777
mt4KWnuakQLhJ6NhgbXqVA,tasty-delicious-canarsie,Tasty Delicious,https://s3-media0.fl.yelpcdn.com/bphoto/D6kJwPzeWe2eQZkQJ1YLyA/o.jpg,True,https://www.yelp.com/biz/tasty-delicious-canarsie?adjust_creative=82uXkAt1Tiw7u9_h33zr1A&utm_campaign=yelp_api_v3&utm_medium=api_v3_phone_search&utm_source=82uXkAt1Tiw7u9_h33zr1A,8,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'indpak', 'title': 'Indian'}]",4.0,"{'latitude': 40.645882, 'longitude': -73.9028674}","['delivery', 'pickup']",,"{'address1': '1397 Rockaway Ave', 'address2': '', 'address3': '', 'city': 'Canarsie', 'zip_code': '11236', 'country': 'US', 'state': 'NY', 'display_address': ['1397 Rockaway Ave', 'Canarsie, NY 11236']}",+17186760149,(718) 676-0149
